"folio","entidad","munici","mened","IA","numpeho","edadjef","sexojef","añosedu","alsa"
160604,16,53,1,0,5,53,0,22,300
220826,22,14,0,0,1,33,0,22,245
130942,13,48,0,0,6,54,0,22,1165
250462,25,6,1,0,5,54,0,22,1590
90088,9,3,1,0,3,44,0,22,510
181491,18,17,1,0,3,40,0,22,1280
192055,19,46,0,0,1,44,1,22,800
220948,22,14,1,0,4,47,0,22,822
10623,1,1,0,0,2,64,1,22,255
261769,26,47,0,0,1,50,0,22,547
181159,18,17,0,1,1,39,1,22,650
180069,18,2,1,0,5,51,0,22,1348
290745,29,18,1,0,3,48,1,22,947
261547,26,43,0,0,1,47,1,22,682
320958,32,35,1,0,4,46,1,22,780
220187,22,6,1,0,5,57,0,22,1785
71151,7,89,1,0,4,62,0,22,1568
20242,2,1,1,0,3,28,0,22,525
282255,28,41,1,0,4,37,0,22,1300
230297,23,3,1,0,4,38,0,22,585
321778,32,56,0,0,4,48,0,22,590
191229,19,39,0,0,3,57,0,22,1015
270875,27,5,1,0,4,43,0,22,1250
271060,27,6,1,1,4,39,0,22,443
151017,15,57,0,0,4,56,0,22,1130
40471,4,2,1,0,4,38,0,22,1290
51011,5,30,1,0,3,39,0,22,1625
321267,32,39,1,0,4,55,0,22,590
81088,8,32,1,0,3,52,0,22,872
10745,1,1,1,0,3,42,0,22,462
40600,4,2,0,0,5,59,0,22,2990
20528,2,2,0,0,1,39,1,22,540
40036,4,1,1,1,5,40,0,22,738
310833,31,50,1,1,4,39,0,22,1700
140075,14,9,0,0,1,35,0,22,730
191504,19,39,0,0,5,51,0,22,56
221020,22,14,1,0,4,33,0,22,925
131093,13,51,1,0,2,29,1,22,625
21178,2,2,0,0,3,52,1,22,850
20338,2,1,1,0,3,49,0,22,1185
40475,4,2,0,0,2,27,0,22,361
221764,22,17,0,0,2,43,0,22,1002
140189,14,29,0,0,1,54,0,22,257
161295,16,88,1,1,3,40,0,22,670
230581,23,4,0,1,1,61,1,22,81
61771,6,10,1,0,5,54,0,22,1385
131130,13,51,1,1,2,35,1,22,383
191648,19,39,0,0,4,51,0,22,1230
60197,6,2,0,1,2,51,0,22,0
50906,5,28,0,1,3,50,1,22,1103
300842,30,88,1,1,4,43,0,22,1550
241096,24,28,0,0,1,84,1,22,553
51667,5,35,1,0,5,47,0,22,790
211635,21,156,1,0,3,62,0,22,412
220222,22,6,1,0,3,39,0,22,0
191043,19,31,0,1,1,65,0,22,215
150872,15,42,1,1,7,38,1,22,955
40602,4,2,0,0,2,67,0,22,980
61688,6,10,0,1,4,46,0,22,1500
61770,6,10,0,0,1,50,0,22,340
261139,26,30,1,1,5,39,0,22,670
41062,4,3,1,1,3,46,1,22,795
160606,16,53,1,0,3,42,1,22,180
220875,22,14,0,0,1,65,1,22,232
250458,25,6,1,1,5,36,0,22,715
210822,21,114,0,0,3,57,1,22,1420
232079,23,8,1,0,3,34,0,22,766
151054,15,57,1,0,3,46,0,22,562
250614,25,6,0,1,1,61,1,22,140
310631,31,50,1,0,4,44,0,22,448
160888,16,65,1,0,5,44,0,22,0
31229,3,3,1,1,5,32,0,22,1700
320782,32,20,0,0,3,50,0,22,610
270624,27,4,0,0,1,34,0,22,460
161858,16,112,1,1,3,42,0,22,530
20903,2,2,0,1,2,42,0,22,1298
31277,3,3,1,0,5,40,0,22,930
111102,11,20,0,0,2,71,0,22,429
310712,31,50,0,0,4,45,0,22,1430
41000,4,3,1,0,3,41,0,22,955
260918,26,30,0,0,3,25,0,22,600
110644,11,17,1,1,3,48,1,22,585
111130,11,20,1,1,3,29,1,22,765
150840,15,42,1,0,3,39,1,22,2050
21558,2,4,1,1,5,40,0,22,1325
10049,1,1,1,1,3,47,0,22,801
21620,2,4,1,0,4,43,0,22,1050
291578,29,41,1,0,4,46,0,22,955
41388,4,4,1,1,6,38,0,19,815
281469,28,32,1,1,5,41,0,19,430
280347,28,9,0,0,2,24,0,19,473
311142,31,50,1,1,6,47,1,19,949
30111,3,1,1,1,5,46,0,19,598
230793,23,5,1,0,6,45,0,19,50
191568,19,39,1,0,6,44,0,19,550
40423,4,2,0,0,4,35,0,19,1850
30093,3,1,1,1,3,48,0,19,907
241539,24,35,1,0,5,39,0,19,700
260478,26,19,1,0,5,47,0,19,730
51019,5,30,0,0,5,56,0,19,810
60858,6,7,0,0,4,58,0,19,1070
30085,3,1,0,1,2,57,0,19,297
140598,14,39,1,0,5,44,0,19,828
20040,2,1,0,1,1,52,0,19,411
11484,1,4,1,1,4,26,0,19,290
20488,2,1,0,0,1,66,0,19,392
10150,1,1,1,1,3,35,0,19,732
61792,6,10,0,0,4,54,0,19,1110
191220,19,39,1,0,5,44,0,19,1110
171007,17,11,1,1,5,39,0,19,925
110051,11,3,0,0,1,45,1,19,800
30039,3,1,1,1,3,27,0,19,655
181529,18,17,0,0,2,53,0,19,718
311894,31,102,1,0,3,43,0,19,409
10748,1,1,1,0,7,53,0,19,1270
270509,27,4,1,0,3,27,0,19,1050
151402,15,68,0,0,4,56,0,19,1320
221311,22,14,0,0,1,41,1,19,303
251143,25,11,1,1,4,39,0,19,121
181829,18,20,1,1,4,32,0,19,525
211342,21,119,1,0,5,57,1,19,646
10734,1,1,1,0,2,52,0,19,900
71443,7,101,1,1,6,45,0,19,1158
90715,9,7,0,0,5,46,0,19,570
221258,22,14,0,0,1,21,0,19,160
50996,5,30,1,1,4,31,0,19,813
241076,24,28,0,0,2,36,0,19,146
251640,25,13,1,0,5,36,0,19,95
130487,13,28,1,1,4,46,0,19,675
191233,19,39,1,0,4,47,0,19,696
60169,6,2,1,0,3,42,1,19,425
10692,1,1,0,1,4,51,0,19,620
61261,6,9,1,0,3,40,1,19,624
121230,12,38,0,0,3,61,0,19,810
281280,28,29,1,1,3,52,1,19,552
210293,21,41,1,0,3,27,0,19,1775
110065,11,3,1,0,6,46,0,19,1950
220814,22,14,0,0,1,53,1,19,307
101215,10,12,1,1,5,42,0,19,1140
92009,9,15,1,0,3,43,0,19,581
10663,1,1,0,0,5,47,0,19,694
40040,4,1,1,1,3,34,1,19,299
290658,29,15,1,1,4,55,0,19,744
180801,18,15,1,1,5,47,0,19,533
60036,6,1,1,0,5,40,0,19,608
300854,30,101,1,1,4,48,0,19,948
60906,6,7,1,0,4,46,0,19,785
250684,25,6,1,1,5,31,0,19,682
30759,3,3,0,0,3,62,0,19,1010
211368,21,119,1,1,5,36,0,19,1490
11235,1,1,1,0,7,41,0,19,958
90004,9,2,1,0,4,36,0,19,758
152016,15,106,1,0,3,31,0,19,430
30290,3,1,1,0,6,54,0,19,1150
151282,15,58,1,1,4,45,0,19,535
32245,3,8,1,0,4,41,0,19,1210
61352,6,9,0,0,1,47,0,19,931
111156,11,20,1,1,3,31,0,19,306
200554,20,79,1,0,3,38,1,19,1042
171634,17,24,1,1,4,36,0,19,814
131355,13,63,1,0,4,27,0,19,547
50694,5,25,1,0,4,26,0,19,1425
271086,27,7,1,0,4,36,0,19,1130
150226,15,20,1,1,3,39,0,19,844
80148,8,10,1,1,3,48,0,19,1530
221835,22,18,1,0,2,28,1,19,580
220687,22,14,1,0,2,46,1,19,243
11066,1,1,1,0,5,52,1,19,116
30733,3,3,1,1,4,48,0,19,1019
41088,4,3,0,0,4,56,0,19,985
120945,12,29,1,1,3,32,0,19,1280
30719,3,3,0,1,2,55,0,19,614
31254,3,3,0,0,1,51,0,19,710
92039,9,15,0,0,1,26,0,19,570
11029,1,1,1,1,4,34,0,19,580
251661,25,15,0,0,2,70,0,19,960
310478,31,50,0,0,2,55,0,19,340
10895,1,1,0,1,2,57,0,19,870
271298,27,10,1,0,3,33,0,19,304
221692,22,17,0,1,3,54,0,19,510
151827,15,104,1,0,4,38,1,19,460
60253,6,2,0,0,4,62,0,19,1722
250062,25,1,1,0,5,41,0,19,1155
320882,32,32,0,0,2,61,0,19,375
92212,9,16,1,0,4,39,0,19,429
61647,6,10,1,1,5,49,1,19,1595
30602,3,3,0,0,4,58,0,19,1165
141654,14,108,1,1,5,59,0,19,695
161838,16,112,0,0,2,25,1,19,740
120097,12,1,1,0,5,42,0,19,914
160900,16,65,1,1,3,29,0,19,815
100167,10,5,0,0,1,49,1,19,305
320950,32,35,0,1,5,49,0,19,565
282082,28,41,0,1,2,49,0,19,720
271120,27,8,1,0,3,45,0,19,887
181175,18,17,1,1,4,32,0,19,1190
71442,7,101,1,0,2,34,1,19,644
241982,24,53,1,1,7,48,0,19,613
20057,2,1,0,0,1,35,0,19,742
210819,21,114,1,1,3,37,0,19,1328
22348,2,4,1,1,5,54,0,19,894
200311,20,55,1,1,4,45,0,19,543
301870,30,199,1,1,5,41,0,19,333
220822,22,14,0,0,2,41,0,19,220
200877,20,184,1,1,3,64,0,19,638
130499,13,28,1,1,4,33,1,19,734
41715,4,9,1,1,4,39,1,19,2315
31206,3,3,1,1,4,30,0,19,735
71521,7,101,0,1,2,52,0,19,1985
40229,4,2,1,1,4,29,0,19,605
280115,28,3,1,1,3,28,0,19,402
11121,1,1,0,0,2,23,0,19,495
11336,1,2,0,0,1,45,0,19,330
260208,26,18,1,1,5,54,0,19,750
220214,22,6,1,1,5,39,0,19,496
40284,4,2,0,0,3,56,1,19,912
40302,4,2,1,0,4,36,1,19,1338
130908,13,48,1,0,4,51,0,19,1168
220963,22,14,0,0,3,61,1,19,855
250151,25,1,0,0,3,53,0,19,563
110067,11,3,1,0,5,45,0,19,803
260527,26,25,1,0,3,33,0,19,870
40286,4,2,1,1,4,48,1,19,860
321285,32,39,1,1,3,25,0,19,650
60160,6,2,1,0,3,40,0,19,305
200960,20,184,1,0,4,25,0,19,950
41352,4,4,0,1,3,46,1,19,880
30730,3,3,1,0,3,42,0,19,840
40371,4,2,0,0,2,74,0,19,705
141971,14,120,0,0,2,72,0,19,911
300981,30,118,1,0,4,45,0,19,148
270523,27,4,1,1,4,54,0,19,1130
70127,7,17,1,0,5,40,0,19,690
271051,27,6,1,1,4,36,0,19,476
71034,7,78,0,1,3,50,1,19,548
31149,3,3,1,1,4,34,0,19,1520
231518,23,5,1,1,3,49,0,19,200
270008,27,1,0,1,3,53,0,19,1920
160665,16,53,1,0,4,46,0,19,648
140256,14,30,0,0,4,58,0,19,664
80747,8,19,1,0,5,38,0,19,502
110063,11,3,1,1,3,50,0,19,1287
80419,8,19,0,1,1,27,0,19,350
121148,12,35,0,0,2,46,1,19,768
261988,26,72,0,1,3,72,0,19,1142
160581,16,53,1,0,4,40,0,19,100
40444,4,2,1,1,3,27,0,19,420
40453,4,2,1,1,4,32,0,19,342
160752,16,54,1,1,5,38,0,19,472
130877,13,48,1,0,5,48,0,19,1194
240795,24,28,0,0,4,61,0,19,873
220787,22,14,0,0,3,68,0,19,476
32196,3,8,0,0,2,33,0,19,869
131557,13,72,0,0,2,39,0,19,428
221273,22,14,0,0,2,31,0,19,410
41109,4,3,1,0,4,32,0,19,231
220781,22,14,0,1,1,28,1,19,173
41084,4,3,1,0,9,53,0,19,876
140185,14,21,1,1,5,45,0,19,897
140390,14,39,0,0,5,60,0,19,980
311838,31,102,1,1,3,26,0,19,212
221189,22,14,0,0,6,19,1,19,615
200450,20,67,1,0,3,30,0,19,830
120946,12,29,1,1,2,48,1,19,973
300444,30,53,1,0,3,40,0,19,891
241538,24,35,1,1,3,39,1,19,620
270106,27,2,0,0,5,51,0,19,1310
40519,4,2,1,1,5,42,0,19,650
261127,26,30,0,0,1,32,1,19,483
120968,12,29,1,0,4,38,0,19,1064
81791,8,37,1,1,4,24,0,19,1008
271345,27,10,0,0,3,57,1,19,1520
20243,2,1,1,1,4,38,0,19,530
260668,26,29,0,1,3,39,1,19,625
260712,26,29,1,0,4,36,0,19,392
171338,17,18,1,0,5,58,0,19,676
130864,13,48,0,0,1,19,1,19,640
70128,7,17,1,1,5,48,0,19,900
40538,4,2,0,1,5,28,0,19,700
170093,17,4,1,0,6,53,0,19,1006
20760,2,2,1,0,4,43,1,19,455
290094,29,5,1,0,3,49,0,19,325
221295,22,14,0,0,1,83,1,19,520
90038,9,2,0,0,4,48,0,19,462
90578,9,6,0,0,2,40,0,19,269
170221,17,6,0,0,3,62,0,19,1104
31104,3,3,0,0,1,36,0,19,50
300853,30,101,1,1,4,57,1,19,935
181864,18,20,0,0,2,57,0,19,315
321034,32,36,0,1,1,34,0,19,280
90097,9,3,1,0,4,48,0,19,756
82041,8,52,0,1,2,52,1,19,994
81121,8,32,1,0,4,38,0,19,698
70061,7,9,1,1,4,54,0,19,860
270160,27,2,1,1,6,51,0,19,550
41569,4,5,1,1,5,27,0,19,668
111688,11,37,0,1,1,44,0,19,585
290337,29,10,1,1,6,32,0,19,187
31167,3,3,1,0,4,39,0,19,990
281102,28,27,0,1,2,65,0,19,607
270813,27,4,1,1,5,46,0,19,280
100821,10,7,0,1,3,45,0,19,1062
30714,3,3,0,0,4,56,0,19,792
270065,27,2,1,1,4,37,0,19,486
21197,2,3,0,1,1,19,0,19,320
301572,30,186,0,0,2,51,0,19,820
120714,12,21,1,1,5,33,0,19,1173
291631,29,43,1,1,4,45,0,19,560
110069,11,3,0,0,2,50,0,19,990
20668,2,2,0,0,2,34,0,19,10
20692,2,2,1,1,4,45,0,19,20
270105,27,2,0,0,3,42,0,19,960
20743,2,2,0,1,4,66,0,19,400
290419,29,13,1,0,3,51,0,19,1540
91317,9,9,0,0,2,50,1,19,30
140400,14,39,1,1,4,31,1,19,610
71121,7,89,1,0,5,30,0,19,576
201218,20,307,1,1,4,33,1,19,355
251117,25,11,0,1,2,56,0,19,612
61902,6,10,1,0,4,38,0,19,838
221075,22,14,0,1,4,66,0,19,800
91206,9,8,0,0,4,51,0,19,1110
20794,2,2,0,1,3,58,0,19,297
160590,16,53,1,0,5,45,0,19,1226
20815,2,2,1,1,4,46,0,19,831
70134,7,17,1,1,4,43,0,19,380
170756,17,7,0,1,2,45,1,19,400
181493,18,17,1,0,3,57,0,19,580
20687,2,2,0,1,2,28,0,19,489
20925,2,2,0,1,3,42,0,19,630
221327,22,14,1,1,4,28,0,19,446
80537,8,19,0,0,2,30,0,19,610
280191,28,9,0,0,3,74,0,19,280
41570,4,5,0,0,1,42,0,19,344
221146,22,14,1,0,3,41,0,19,525
291600,29,41,0,1,4,52,0,19,0
241560,24,35,1,1,4,33,0,19,824
230609,23,4,1,1,3,25,0,19,602
152261,15,121,0,0,2,30,0,19,1390
300986,30,118,0,0,1,29,0,19,30
60275,6,2,0,0,1,22,0,19,0
21004,2,2,0,1,3,48,1,19,628
100953,10,7,1,1,5,31,0,19,919
300371,30,48,1,0,3,28,1,19,690
300041,30,14,0,0,4,56,0,19,460
300379,30,48,1,1,5,52,0,19,1300
10077,1,1,0,0,3,82,0,19,576
171138,17,11,0,0,1,37,1,19,0
261603,26,43,1,1,5,56,0,19,810
232062,23,8,1,1,4,35,1,19,555
171356,17,18,0,1,2,76,0,19,475
131229,13,58,1,1,3,58,1,19,919
61884,6,10,0,0,1,33,0,19,53
10361,1,1,0,1,2,28,1,19,516
10583,1,1,0,1,1,73,0,19,572
111344,11,27,1,1,4,42,0,19,181
170338,17,6,1,1,3,24,0,19,515
10576,1,1,1,0,4,41,1,19,1021
310938,31,50,1,0,6,53,0,19,1213
31050,3,3,0,0,2,66,0,19,1109
100997,10,7,1,1,4,37,0,19,511
31818,3,8,0,1,4,52,0,19,806
41115,4,3,1,0,3,30,0,19,1745
160772,16,55,1,1,6,52,0,19,942
11118,1,1,1,0,4,57,0,19,860
21615,2,4,0,0,2,45,0,19,730
111410,11,28,1,1,6,58,0,19,1300
121218,12,38,1,0,9,47,1,19,880
290768,29,18,0,1,3,25,1,19,272
171628,17,24,1,0,6,44,0,19,925
201353,20,380,0,1,1,58,0,19,453
30119,3,1,0,0,4,48,0,19,800
10585,1,1,0,0,1,67,0,19,176
40175,4,2,1,0,5,52,0,19,439
290332,29,10,1,1,6,50,0,19,300
31111,3,3,1,1,6,34,0,19,1330
171213,17,13,0,1,2,75,0,19,313
50743,5,25,1,0,3,40,0,19,559
260557,26,25,1,0,6,49,0,19,272
251671,25,15,0,0,3,55,0,19,30
92300,9,17,1,0,5,59,0,19,530
241064,24,28,1,0,4,27,0,19,599
80154,8,10,1,0,5,45,0,19,820
21542,2,4,1,0,3,25,0,19,704
181792,18,20,1,0,4,23,1,19,750
190914,19,26,0,0,2,29,0,19,950
321788,32,56,1,1,6,24,1,19,540
100207,10,5,0,0,2,50,0,19,535
300380,30,48,0,1,2,50,0,19,159
170353,17,6,1,0,4,48,0,19,791
210612,21,74,1,0,3,30,0,19,580
140859,14,53,1,0,3,28,0,19,730
71409,7,101,1,0,4,52,1,19,650
280425,28,11,1,1,2,47,1,19,295
100331,10,5,0,1,1,71,1,19,692
50113,5,2,1,1,4,25,0,19,620
250557,25,6,1,1,7,62,0,19,1686
10053,1,1,1,0,4,58,0,19,650
30544,3,3,0,1,2,29,0,19,700
80679,8,19,0,1,1,76,0,19,433
270613,27,4,1,0,3,51,0,19,1087
30042,3,1,1,0,3,31,0,19,0
290626,29,15,1,1,5,52,0,19,517
261654,26,43,1,1,4,40,0,19,793
250092,25,1,0,1,1,40,0,19,1580
10639,1,1,0,1,5,56,0,19,1434
291199,29,33,1,0,5,62,0,19,2000
300373,30,48,1,1,5,32,1,19,1533
200280,20,45,1,1,3,30,0,19,195
151305,15,60,1,0,3,52,0,19,1990
61347,6,9,1,1,5,48,0,19,588
280759,28,22,1,1,3,57,0,19,443
161309,16,88,1,1,7,43,1,19,1085
220802,22,14,1,0,3,41,0,19,638
51075,5,30,0,0,2,44,0,19,523
211592,21,156,1,1,4,40,1,19,262
251688,25,15,0,1,2,91,0,19,412
70651,7,51,0,0,1,63,0,19,301
191973,19,46,1,0,5,31,0,19,653
40492,4,2,1,1,5,48,0,19,679
91956,9,14,1,1,4,50,0,19,765
61810,6,10,0,1,1,60,0,19,845
80821,8,21,1,0,3,30,0,19,1120
10274,1,1,1,1,5,56,0,19,217
50663,5,25,0,0,1,24,1,19,800
70117,7,17,1,1,4,45,0,19,485
280626,28,21,0,1,2,73,0,19,750
100986,10,7,1,0,5,47,1,19,1534
61816,6,10,1,1,4,52,0,19,692
310513,31,50,1,1,5,32,0,19,1505
270374,27,4,1,1,4,28,0,19,648
40321,4,2,1,0,4,58,0,19,496
20992,2,2,1,0,4,55,0,19,2211
50702,5,25,1,0,3,23,0,19,328
160807,16,56,1,1,4,29,0,19,790
51635,5,35,0,0,2,46,1,19,715
270090,27,2,0,1,1,23,1,19,600
10604,1,1,1,0,4,52,0,19,668
300653,30,81,1,1,4,40,0,19,1246
61801,6,10,0,0,2,56,0,19,677
260827,26,30,1,0,2,22,0,19,860
180185,18,4,1,1,4,51,0,19,564
201603,20,475,1,1,3,32,0,19,304
61819,6,10,1,0,4,52,0,19,871
21139,2,2,0,0,3,54,0,19,622
80534,8,19,0,0,2,55,0,19,261
321817,32,56,0,1,1,18,1,19,300
221266,22,14,1,1,4,51,0,19,590
61775,6,10,1,0,4,40,0,19,590
300878,30,101,1,0,4,46,0,19,843
61861,6,10,0,1,4,58,1,19,0
41340,4,4,0,0,1,37,0,19,660
110636,11,17,1,1,4,40,0,19,1414
51444,5,32,0,1,3,46,1,19,829
220979,22,14,0,0,1,27,0,19,120
270577,27,4,1,1,4,52,1,19,760
300534,30,68,0,1,2,28,0,19,636
280471,28,12,1,0,4,26,0,19,170
10746,1,1,0,0,4,55,0,19,2080
90989,9,7,0,1,5,55,0,19,760
191501,19,39,1,1,5,46,0,19,995
211426,21,132,1,1,5,37,0,19,870
80004,8,2,1,0,3,62,0,19,995
61835,6,10,1,0,4,48,0,19,30
160872,16,64,0,1,2,53,0,19,501
310641,31,50,1,1,3,34,0,19,480
260670,26,29,0,0,2,56,0,19,325
260016,26,2,1,0,5,31,0,19,707
170980,17,11,1,1,4,43,0,19,913
150535,15,33,1,1,6,53,1,19,1055
190411,19,21,0,0,1,40,1,19,307
250709,25,6,1,0,2,26,1,19,0
141571,14,101,0,0,1,61,1,19,306
150191,15,20,0,1,3,52,0,19,507
70129,7,17,1,1,4,35,1,19,0
81758,8,37,1,0,5,42,1,19,870
211132,21,114,0,0,3,54,0,19,760
211624,21,156,0,0,2,49,1,19,262
50950,5,30,0,0,2,34,0,19,840
300242,30,39,0,0,2,35,0,19,500
51176,5,30,1,1,5,43,0,19,483
51174,5,30,1,0,5,40,0,19,540
160902,16,65,0,1,3,82,0,19,450
191919,19,46,1,0,4,51,0,19,1180
190782,19,26,1,0,6,31,0,19,1570
31251,3,3,1,1,4,50,0,19,1150
61314,6,9,0,0,2,47,0,19,610
241255,24,28,0,0,1,21,1,19,577
141387,14,98,1,0,5,51,0,19,1258
81808,8,37,1,1,5,39,0,19,1006
91422,9,10,1,0,4,54,0,19,471
40197,4,2,1,0,5,53,1,19,740
131129,13,51,1,0,3,27,0,19,441
290289,29,10,1,0,4,43,0,19,495
