"nse5f","area","numpeho","refin","edadjef","sexojef","añosedu","IA","ln_als","ln_alns"
5,0,1,0,30,1,22,0,4.98360662170834,2.70805020110221
4,0,4,0,48,0,22,0,6.92067150424868,NA
5,0,1,0,30,0,22,0,6.36302810354046,6.08677472691231
5,0,4,0,40,0,22,0,6.36302810354046,3.40119738166216
4,0,5,1,36,0,22,0,7.41336733569524,5.07517381523383
5,0,4,0,35,0,22,1,7.62559507213245,6.47697236288968
5,0,6,1,41,0,22,0,6.58617165485467,4.38202663467388
5,0,1,1,32,1,22,0,5.85220247977447,4.91265488573605
5,0,3,0,46,0,22,0,6.76734312526539,5.73657229747919
2,1,4,0,44,0,22,1,7.13886699994552,4.60517018598809
5,0,4,0,NA,NA,22,1,7.23273313617761,4.78749174278205
5,0,6,0,48,0,22,1,6.3456363608286,3.91202300542815
5,0,4,0,55,0,22,1,7.73193072194849,6.67203294546107
5,0,5,0,53,0,22,0,7.5522372875608,5.4380793089232
5,0,2,0,52,0,22,1,6.46146817635372,3.91202300542815
5,0,3,1,35,0,22,1,6.88550967003482,NA
5,0,3,0,32,0,22,0,6.24416690066374,NA
4,0,1,0,45,0,22,0,6.72743172485086,NA
4,0,4,0,53,0,22,0,5.39362754635236,NA
5,0,4,0,29,0,22,0,5.64544689764324,3.58351893845611
5,0,5,0,39,0,22,0,6.80239476332431,6.08677472691231
5,0,5,0,50,0,22,0,6.38012253689976,4.60517018598809
4,0,4,1,53,0,22,1,6.74405918631135,2.70805020110221
5,0,4,0,54,0,22,0,6.62936325343745,5.01063529409626
5,0,4,1,39,1,22,1,7.25488481007734,5.74939298590825
5,0,3,1,46,1,22,0,6.93731408122368,5.39362754635236
5,0,2,1,29,1,22,0,5.66988092298052,4.44265125649032
4,0,4,0,NA,NA,22,0,6.63068338564237,3.91202300542815
5,0,2,0,83,0,22,0,6.24222326545517,4.83628190695148
5,0,2,1,55,1,22,1,6.50727771238501,5.24702407216049
5,0,5,0,NA,NA,22,0,6.56807791141198,4.49980967033027
5,0,3,0,54,0,22,0,6.30991827822652,5.96100533962327
4,0,1,0,44,1,22,0,4.83628190695148,NA
5,0,2,0,35,0,22,0,7.05098944706805,NA
5,0,3,0,49,1,22,0,6.41673228251233,NA
5,0,4,1,48,0,22,0,7.12689080889881,6.22851100359118
5,0,4,1,38,0,22,0,6.92461239604856,3.80666248977032
2,0,2,0,29,0,22,1,6.20455776256869,NA
5,0,5,0,61,0,22,0,7.29301767977278,NA
4,0,4,1,34,0,22,1,6.31896811374643,4.86753445045558
5,0,5,0,NA,NA,22,0,8.77724709675054,6.13122648948314
3,0,2,0,47,0,22,1,7.2591161280971,3.63758615972639
5,0,3,0,56,0,22,0,6.82871207164168,4.24849524204936
5,0,2,0,61,0,22,0,5.84354441703136,5.32300997913841
5,0,4,0,50,0,22,0,6.87523208727658,5.91350300563827
5,0,1,0,58,0,22,0,7.00306545878646,5.24702407216049
4,0,4,0,NA,NA,22,1,7.00397413672268,NA
4,0,1,0,55,0,22,1,5.90263333340137,2.30258509299405
5,0,2,0,NA,NA,22,0,6.47543271670409,3.91202300542815
5,1,2,0,71,0,22,0,7.16006920759613,NA
5,0,1,0,32,1,22,1,6.99668148817654,NA
5,0,4,0,NA,NA,22,0,7.14519613499717,5.65599181081985
5,0,1,0,57,0,22,0,7.30518821539304,5.99146454710798
5,0,4,0,41,0,22,0,6.73101810048208,4.90527477843843
4,1,1,0,38,0,22,0,6.60665018619822,4.38202663467388
5,0,4,0,NA,NA,22,0,6.77992190747225,NA
5,0,6,0,64,0,22,0,7.07242190053737,NA
5,0,3,0,58,1,22,0,7.16549347506085,4.60517018598809
5,0,3,0,32,0,22,0,6.04263283368238,5.48063892334199
5,0,4,0,54,0,22,1,7.03878354138854,6.30991827822652
5,0,4,0,50,0,22,0,6.26720054854136,3.40119738166216
5,0,3,0,39,0,22,1,6.1527326947041,NA
5,0,3,0,40,0,22,0,5.41610040220442,4.8283137373023
4,0,2,0,38,0,22,0,6.54821910276237,4.24849524204936
5,0,3,0,33,0,22,0,6.49223983502047,1.6094379124341
5,0,2,0,80,0,22,0,6.44571981938558,5.73657229747919
5,0,3,1,47,0,22,0,6.68461172766793,4.49980967033027
5,0,2,0,54,0,22,0,6.85856503479136,3.80666248977032
5,0,3,0,37,0,22,0,6.60934924316738,5.66642668811243
5,0,4,0,62,0,22,0,7.24779258176785,3.80666248977032
5,0,3,0,33,1,22,0,6.69703424766648,5.52146091786225
5,1,3,0,NA,NA,22,0,6.69084227741856,4.76217393479776
5,0,4,0,43,0,22,0,5.75890177387728,5.57972982598622
4,0,2,0,NA,NA,22,1,6.46146817635372,4.49980967033027
5,0,5,0,56,0,22,1,6.5792512120101,4.9416424226093
5,0,3,1,52,0,22,0,4.80402104473326,NA
1,1,4,0,36,0,22,0,5.66988092298052,NA
4,0,4,0,51,0,22,0,6.88755257166462,4.60517018598809
5,0,2,0,NA,NA,22,0,6.92755790627832,5.66988092298052
5,0,5,0,45,0,22,0,6.32793678372919,3.91202300542815
5,0,5,0,47,0,22,0,6.04025471127741,3.91202300542815
5,1,1,0,34,0,22,0,4.7361984483945,5.78382518232974
5,0,4,0,55,0,22,1,7.46737106691756,NA
5,0,4,0,45,0,22,0,6.79682371827486,5.01063529409626
5,0,4,1,36,0,22,0,6.76157276880406,5.01063529409626
5,0,2,1,51,0,22,0,6.98007594056176,4.38202663467388
4,0,3,0,43,0,22,0,6.01615715969835,5.07517381523383
4,0,4,0,36,0,22,1,6.9177056098353,5.56068163101553
5,0,5,0,53,0,22,0,5.7037824746562,NA
5,0,1,0,33,0,22,0,5.50125821054473,5.39362754635236
5,0,6,0,54,0,22,0,7.0604763659998,NA
5,0,5,0,54,0,22,0,7.37148929521428,NA
5,0,3,0,44,0,22,0,6.23441072571837,NA
5,0,3,0,40,0,22,0,7.15461535691366,4.24849524204936
5,0,1,1,44,1,22,0,6.68461172766793,3.68887945411394
5,0,4,0,47,0,22,0,6.71174039505618,3.68887945411394
5,0,2,1,64,1,22,0,5.54126354515843,3.17805383034795
2,0,1,0,50,0,22,0,6.30444880242198,6.39692965521615
3,0,3,1,NA,NA,22,1,7.22983877815125,5.29831736654804
5,0,1,0,39,1,22,1,6.47697236288968,6.10924758276437
5,0,5,0,51,0,22,0,7.20637729147225,3.91202300542815
4,0,3,0,48,1,22,0,6.85329909318608,3.40119738166216
3,0,1,1,47,1,22,0,6.52502965784346,3.40119738166216
5,1,13,0,NA,NA,22,1,6.76388490856244,NA
3,1,4,0,46,1,22,0,6.65929391968364,5.4380793089232
5,0,5,0,57,0,22,0,7.48717369421374,5.13579843705026
5,0,4,0,62,0,22,0,7.35755620091035,5.19295685089021
5,0,3,0,28,0,22,0,6.26339826259162,NA
4,0,4,0,37,0,22,0,7.17011954344963,NA
4,0,4,0,38,0,22,0,6.37161184723186,4.60517018598809
5,0,4,0,48,0,22,0,6.38012253689976,4.60517018598809
5,0,3,0,57,0,22,0,6.92264389147589,4.49980967033027
5,0,4,0,43,0,22,0,7.13089883029635,5.52146091786225
2,1,4,0,39,0,22,1,6.09356977004514,NA
5,0,4,0,56,0,22,0,7.02997291170639,NA
5,0,4,0,38,0,22,0,7.16239749735572,4.78749174278205
5,0,3,0,39,0,22,0,7.39326309476384,5.52146091786225
5,0,4,0,55,0,22,0,6.38012253689976,6.1527326947041
5,0,3,0,52,0,22,0,6.77078942390898,5.13579843705026
5,0,3,0,42,0,22,0,6.13556489108174,5.32300997913841
5,0,5,0,59,0,22,0,8.00302866638473,NA
5,0,4,0,NA,NA,22,0,6.62671774924902,4.38202663467388
5,0,1,0,39,1,22,0,6.29156913955832,4.0943445622221
5,0,3,0,NA,NA,22,1,7.01211529430638,5.82894561761021
5,0,5,1,40,0,22,1,6.60394382460047,NA
5,0,4,0,39,0,22,1,7.43838353004431,5.99146454710798
4,0,1,0,35,0,22,0,6.59304453414244,3.87120101090789
5,0,5,0,51,0,22,0,4.02535169073515,6.20657592672493
5,0,4,0,33,0,22,0,6.82979373751242,5.85793315448346
5,0,5,0,NA,NA,22,0,NA,NA
5,1,2,0,29,1,22,0,6.4377516497364,NA
5,0,3,0,52,1,22,0,6.74523634948436,2.99573227355399
5,0,3,0,49,0,22,0,7.07749805356923,4.78749174278205
5,0,2,0,27,0,22,0,5.88887795833288,4.9416424226093
5,1,2,0,43,0,22,0,6.90975328164481,5.7037824746562
5,0,6,0,NA,NA,22,1,6.30991827822652,3.63758615972639
2,1,1,1,54,0,22,0,5.54907608489522,5.07517381523383
4,1,3,0,40,0,22,1,6.50727771238501,2.99573227355399
5,0,5,0,NA,NA,22,0,6.42648845745769,4.78749174278205
4,0,1,0,61,1,22,1,4.39444915467244,2.07944154167984
5,0,3,0,NA,NA,22,0,7.00306545878646,4.24849524204936
5,0,3,1,NA,NA,22,0,7.35883089834235,4.70048036579242
5,0,5,1,54,0,22,0,7.23345541862144,4.60517018598809
4,0,2,0,35,1,22,1,5.94803498918065,4.65396035015752
5,0,4,0,51,0,22,0,7.11476944836646,6.5510803350434
5,0,3,1,NA,NA,22,1,7.39633529380081,NA
5,0,2,0,51,0,22,1,NA,NA
5,0,3,0,50,1,22,1,7.0057890192535,5.57972982598622
5,0,4,0,NA,NA,22,0,7.13489085156588,5.01063529409626
5,0,3,0,NA,NA,22,0,7.3125534981026,6.04973345523196
3,1,4,1,43,0,22,1,7.34601020991329,NA
5,0,1,1,84,1,22,0,6.31535800152233,NA
5,0,5,0,47,0,22,0,6.67203294546107,3.80666248977032
5,0,3,0,62,0,22,0,6.02102334934953,NA
4,0,3,0,39,0,22,0,NA,NA
3,0,1,0,65,0,22,1,5.37063802812766,4.90527477843843
4,0,7,0,38,1,22,1,6.86171134048073,3.40119738166216
5,0,2,0,67,0,22,0,6.88755257166462,5.48063892334199
5,0,5,1,NA,NA,22,1,7.31721240835984,5.29831736654804
5,0,4,0,46,0,22,1,7.3132203870903,NA
4,0,1,0,50,0,22,0,5.82894561761021,6.21460809842219
5,0,5,0,39,0,22,1,6.50727771238501,5.56068163101553
5,0,3,0,46,1,22,1,6.67834211465433,4.86753445045558
5,0,3,1,42,1,22,0,5.19295685089021,NA
5,0,1,0,65,1,22,0,5.44673737166631,NA
4,0,5,1,36,0,22,1,6.57228254269401,4.9416424226093
5,0,3,0,57,1,22,0,7.25841215059531,4.24849524204936
5,0,3,0,NA,NA,22,0,6.90775527898214,4.24849524204936
5,0,3,0,34,0,22,0,6.64118216974059,3.55534806148941
5,0,3,0,46,0,22,0,6.33150184989369,4.70048036579242
5,0,1,0,61,1,22,1,4.9416424226093,4.60517018598809
5,0,8,0,NA,NA,22,0,7.4730690880322,5.01063529409626
5,0,4,0,44,0,22,0,6.10479323241498,5.29831736654804
5,0,5,1,44,0,22,0,NA,4.71849887129509
5,0,5,0,32,0,22,1,7.43838353004431,4.24849524204936
5,0,3,0,50,0,22,0,6.41345895716736,5.79301360838414
4,0,1,0,34,0,22,0,6.13122648948314,7.00306545878646
5,0,3,0,NA,NA,22,0,6.29156913955832,4.60517018598809
4,0,3,0,42,0,22,1,6.27287700654617,NA
5,0,7,0,NA,NA,22,1,6.82654522355659,5.56068163101553
5,0,2,0,42,0,22,1,7.16857989726403,6.21460809842219
5,0,5,0,40,0,22,0,6.8351845861473,4.78749174278205
5,0,2,0,71,0,22,1,6.06145691892802,3.91202300542815
5,0,4,0,NA,NA,22,1,7.01211529430638,7.00306545878646
2,0,4,1,45,0,22,0,7.26542972325395,5.01063529409626
4,0,3,0,41,0,22,0,6.86171134048073,5.29831736654804
5,0,3,0,25,0,22,0,6.39692965521615,6.44571981938558
5,0,3,0,48,1,22,1,6.37161184723186,NA
5,0,1,0,NA,NA,22,0,5.6021188208797,4.9416424226093
5,0,3,0,29,1,22,1,6.63987583382654,5.16478597392351
5,0,3,1,39,1,22,0,7.62559507213245,3.91202300542815
5,0,5,0,NA,NA,22,1,7.01211529430638,5.52146091786225
5,0,5,0,40,0,22,1,7.18916773842032,4.0943445622221
5,0,3,0,47,0,22,1,6.68586094706836,5.99396142730657
5,0,4,0,43,0,22,0,6.95654544315157,5.52146091786225
5,0,4,0,46,0,22,0,6.86171134048073,NA
5,0,4,0,NA,NA,22,0,5.99146454710798,NA
5,0,4,0,NA,NA,22,0,6.5424719605068,NA
5,0,6,0,38,0,19,1,6.70318811324086,4.49980967033027
3,0,5,0,41,0,19,1,6.06378520868761,NA
3,0,2,0,24,0,19,0,6.15909538849193,4.53259949315326
5,0,6,0,47,1,19,1,6.85540879860993,5.64897423816121
5,0,6,0,NA,NA,19,0,7.26542972325395,4.60517018598809
4,0,7,1,NA,NA,19,1,7.28344822875663,4.24849524204936
5,0,5,1,46,0,19,1,6.39359075395063,4.78749174278205
4,0,6,0,45,0,19,0,3.91202300542815,5.4380793089232
5,0,6,0,44,0,19,1,6.30991827822652,6.32793678372919
3,0,4,0,35,0,19,0,7.52294091807237,4.78749174278205
5,0,3,1,48,0,19,1,6.81014245011514,4.60517018598809
5,0,5,0,39,0,19,0,6.5510803350434,4.70048036579242
5,0,5,0,47,0,19,0,6.59304453414244,5.76832099579377
5,0,5,0,56,0,19,0,6.69703424766648,6.1527326947041
5,0,4,1,58,0,19,1,6.97541392745595,4.49980967033027
5,0,2,0,57,0,19,1,5.6937321388027,4.74493212836325
5,0,5,0,44,0,19,0,6.71901315438526,NA
5,0,1,1,52,0,19,1,6.01859321449623,4.79579054559674
5,0,3,0,NA,NA,19,0,7.13886699994552,5.34710753071747
3,1,4,0,26,0,19,1,5.66988092298052,NA
2,0,1,0,66,0,19,0,5.97126183979046,3.63758615972639
2,0,3,0,NA,NA,19,1,5.62762111369064,2.83321334405622
3,0,3,0,35,0,19,1,6.59578051396131,5.56068163101553
5,0,4,0,54,0,19,0,7.01211529430638,5.01063529409626
5,0,5,0,44,0,19,0,7.01211529430638,6.74523634948436
5,0,5,0,39,0,19,1,6.82979373751242,2.30258509299405
3,0,1,1,45,1,19,0,6.68461172766793,NA
4,0,3,0,27,0,19,1,6.48463523563525,NA
5,0,2,0,53,0,19,0,6.57646956904822,4.86753445045558
3,0,3,0,43,0,19,0,6.0137151560428,2.77258872223978
5,0,7,0,53,0,19,0,7.14677217945264,4.86753445045558
4,0,3,0,27,0,19,0,6.95654544315157,5.29831736654804
5,0,4,0,NA,NA,19,1,4.9416424226093,4.24849524204936
5,0,4,0,56,0,19,0,7.18538701558042,5.4380793089232
4,0,1,0,41,1,19,0,5.71373280550937,4.85203026391962
5,0,4,0,39,0,19,1,4.79579054559674,NA
5,0,4,0,32,0,19,1,6.26339826259162,NA
5,0,5,0,57,1,19,0,6.4707995037826,5.24702407216049
3,1,5,0,NA,0,19,1,6.18001665365257,3.2188758248682
4,0,2,0,52,0,19,0,6.80239476332431,3.91202300542815
4,0,6,1,45,0,19,1,7.05444965813294,NA
4,0,3,0,NA,NA,19,0,7.02997291170639,4.49980967033027
5,0,5,0,46,0,19,0,6.3456363608286,5.01063529409626
4,0,1,0,21,0,19,0,5.07517381523383,6.17170059741091
4,0,4,0,31,0,19,1,6.70073110954781,NA
5,0,2,0,36,0,19,0,4.98360662170834,5.38449506278909
4,1,5,1,36,0,19,0,4.55387689160054,NA
4,0,4,1,46,0,19,1,6.51471269087253,NA
5,0,4,0,47,0,19,0,6.54534966033442,6.10924758276437
3,0,7,0,NA,NA,19,0,6.5366915975913,3.40119738166216
4,0,3,1,NA,NA,19,1,6.3456363608286,3.91202300542815
5,0,3,0,42,1,19,0,6.05208916892442,5.39362754635236
5,0,4,0,51,0,19,1,6.42971947803914,3.68887945411394
2,0,2,0,NA,NA,19,1,6.24222326545517,4.70048036579242
4,0,3,0,40,1,19,0,6.43615036836943,NA
5,0,3,1,61,0,19,0,6.69703424766648,3.68887945411394
5,1,3,0,52,1,19,1,6.31354804627709,NA
5,0,4,0,NA,NA,19,0,6.54678541076052,5.24702407216049
5,0,3,1,27,0,19,0,7.48155570190952,5.8171111599632
5,0,6,0,46,0,19,1,7.57558465155779,5.7037824746562
4,0,1,0,53,1,19,0,5.7268477475872,5.78689738136671
5,0,5,0,42,0,19,1,7.03878354138854,3.40119738166216
5,0,3,0,43,0,19,0,6.36475075685191,2.89037175789616
5,0,3,1,NA,NA,19,0,7.16626597413364,5.29831736654804
5,0,5,0,47,0,19,0,6.5424719605068,5.24702407216049
5,0,3,0,34,1,19,1,5.70044357339069,NA
3,1,4,0,55,0,19,1,6.61204103483309,2.89037175789616
4,0,5,0,47,0,19,1,6.27852142416584,5.63478960316925
5,0,3,1,NA,NA,19,1,7.00306545878646,5.66988092298052
5,0,5,0,40,0,19,0,6.41017488196617,3.91202300542815
5,0,4,0,NA,NA,19,1,6.41345895716736,3.40119738166216
5,0,4,0,48,0,19,1,6.85435450225502,4.88280192258637
5,0,4,1,46,0,19,0,6.66568371778241,4.0943445622221
5,0,5,0,31,0,19,1,6.52502965784346,3.91202300542815
5,0,3,0,62,0,19,0,6.9177056098353,NA
5,0,5,0,36,0,19,1,7.30653139893951,5.99146454710798
4,0,7,1,41,0,19,1,6.86484777797086,5.54517744447956
5,0,4,0,NA,NA,19,0,6.27476202124194,3.66356164612965
4,0,4,0,36,0,19,0,6.63068338564237,4.24849524204936
4,1,3,0,31,0,19,0,6.06378520868761,NA
5,1,6,0,54,0,19,0,7.0475172213573,3.91202300542815
5,0,4,0,45,0,19,1,6.28226674689601,NA
4,1,4,0,41,0,19,0,7.09837563859079,5.52146091786225
5,0,1,0,47,0,19,0,6.83625927727707,NA
5,0,3,0,31,0,19,1,5.72358510195238,5.63478960316925
4,0,3,1,38,1,19,0,6.94889722231331,NA
5,0,4,0,NA,NA,19,0,6.54534966033442,2.30258509299405
4,0,4,1,36,0,19,1,6.70196036600254,3.68887945411394
3,0,4,0,27,0,19,0,6.30444880242198,3.40119738166216
5,0,4,0,NA,NA,19,1,7.42177579364465,NA
4,0,4,1,26,0,19,0,7.26192709270275,4.0943445622221
4,1,4,0,36,0,19,0,7.02997291170639,3.91202300542815
5,0,3,0,39,0,19,1,6.73815249459596,5.66296048013595
3,0,4,0,NA,NA,19,1,6.09356977004514,5.01063529409626
5,0,3,0,48,0,19,1,7.33302301438648,4.9416424226093
5,0,5,0,NA,NA,19,0,6.66949808985788,NA
4,1,2,1,28,1,19,0,6.36302810354046,4.60517018598809
5,0,2,0,46,1,19,0,5.49306144334055,NA
5,0,5,0,52,1,19,0,4.75359019110636,4.00733318523247
5,0,4,0,48,0,19,1,6.92657703322272,5.79301360838414
5,0,4,0,56,0,19,0,6.89264164117209,6.39692965521615
1,0,3,1,32,0,19,1,7.15461535691366,NA
5,0,2,0,55,0,19,1,6.41999492814714,5.39362754635236
5,0,1,0,51,0,19,0,6.56526497003536,NA
4,0,1,0,26,0,19,0,6.3456363608286,5.52146091786225
4,0,4,0,34,0,19,1,6.36302810354046,5.74939298590825
5,0,2,0,70,0,19,0,6.86693328446188,NA
5,0,2,1,55,0,19,1,5.82894561761021,6.09807428216624
5,0,2,1,57,0,19,1,6.76849321164863,5.8636311755981
1,0,3,0,33,0,19,0,5.71702770140622,2.30258509299405
5,0,3,0,54,0,19,1,6.23441072571837,2.99573227355399
3,0,2,0,NA,NA,19,0,NA,NA
4,0,4,0,38,1,19,0,6.13122648948314,2.39789527279837
5,0,4,0,62,0,19,0,7.45124168498768,NA
5,0,5,0,41,0,19,0,7.05185562295589,6.47697236288968
4,0,5,0,NA,NA,19,1,6.47697236288968,NA
5,0,2,0,61,0,19,0,5.92692602597041,3.68887945411394
5,0,4,0,NA,NA,19,1,6.70808408385307,3.68887945411394
5,0,4,0,39,0,19,0,6.06145691892802,5.4380793089232
4,0,5,0,49,1,19,1,7.37462901521894,6.30078579466324
5,0,4,0,58,0,19,0,7.0604763659998,2.99573227355399
4,1,5,0,59,0,19,1,6.54391184556479,4.58496747867057
4,0,2,0,25,1,19,0,6.60665018619822,3.91202300542815
5,0,5,0,42,0,19,0,6.81783057145415,3.58351893845611
4,0,3,0,29,0,19,1,6.70318811324086,4.38202663467388
5,0,1,0,49,1,19,0,5.72031177660741,5.08759633523238
5,1,5,0,49,0,19,1,6.33682573114644,3.91202300542815
2,1,2,0,NA,NA,19,0,5.4971682252932,3.87120101090789
3,0,2,0,NA,NA,19,0,6.25382881157547,6.1527326947041
5,0,2,1,49,0,19,1,6.5792512120101,3.17805383034795
5,0,5,0,NA,NA,19,1,6.58892647753352,4.56434819146784
5,0,3,0,45,0,19,0,6.78784498230958,4.78749174278205
5,0,4,0,32,0,19,1,7.08170858610557,4.86753445045558
3,0,2,0,34,1,19,0,6.46769872610435,NA
2,1,7,0,48,0,19,1,6.41836493593621,NA
5,0,1,0,35,0,19,0,6.60934924316738,5.85793315448346
4,1,3,0,NA,NA,19,0,6.28226674689601,NA
5,0,3,0,37,0,19,1,7.19142933003638,NA
4,0,5,0,54,0,19,1,6.79570577517351,4.49980967033027
4,1,4,0,45,0,19,1,6.29710931993394,4.75359019110636
1,0,5,0,41,0,19,1,5.80814248998044,NA
5,0,2,0,41,0,19,0,5.39362754635236,NA
4,0,3,0,64,0,19,1,6.45833828334479,4.78749174278205
4,0,4,0,33,1,19,1,6.59850902861452,5.39362754635236
5,0,5,0,NA,NA,19,0,6.95081476844258,6.5510803350434
5,0,4,0,39,1,19,1,7.74716496652033,NA
4,0,4,0,30,0,19,1,6.59987049921284,2.99573227355399
4,0,2,0,52,0,19,1,7.59337419312129,3.40119738166216
5,0,4,0,29,0,19,1,6.40522845803084,4.60517018598809
3,0,3,1,28,0,19,1,5.99645208861902,3.76120011569356
